order_id,order_date,customer_id,segment,region,channel,category,sub_category,quantity,unit_price,discount,revenue,profit,ship_mode,delivery_days,satisfaction_score,returned,currency
ORD-101247,2024-08-15,CUST-01211,,North,Mobile App,Office Supplies,Storage,3,21.66,0.1,58.48,18.3,Same Day,0.0,3.5,False,GBP
ORD-100500,2024-04-24,CUST-00451,Home Office,South,Mobile App,Office Supplies,Storage,7,29.32,0.4,123.14,19.7,Same Day,0.0,3.4,False,GBP
ORD-103715,2025-12-18,CUST-01281,Consumer,Central,Web,Furniture,Chairs,3,499.34,0.1,1348.22,434.13,Standard,6.0,4.5,False,GBP
ORD-104895,2025-09-06,CUST-00952,,West,Mobile App,Office Supplies,Labels,2,28.22,0.1,50.8,16.76,Second Class,3.0,3.1,False,GBP
ORD-101063,2025-10-28,CUST-00431,Corporate,Central,Mobile App,Office Supplies,Binders,2,30.84,0.0,61.68,23.81,Standard,7.0,2.6,True,GBP
ORD-103314,2025-08-26,CUST-01308,Home Office,South,Web,Technology,Copiers,4,470.28,0.15,1598.95,458.9,Standard,3.0,5.0,False,GBP
ORD-104017,2024-08-09,CUST-01266,Corporate,South,Marketplace,Furniture,Bookcases,8,201.53,0.0,1612.24,730.34,Same Day,0.0,4.4,False,GBP
ORD-104777,2025-12-25,CUST-00516,Consumer,West,Mobile App,Furniture,Furnishings,2,227.51,0.2,364.02,29.49,Standard,5.0,3.7,False,GBP
ORD-104888,2025-03-28,CUST-01327,Consumer,Central,Web,Furniture,Bookcases,5,428.22,0.15,1819.94,618.78,Second Class,4.0,4.3,False,GBP
ORD-100328,2024-11-07,CUST-00952,Consumer,North,Mobile App,Furniture,Bookcases,4,208.26,0.4,499.82,63.98,Same Day,0.0,4.8,False,GBP
ORD-100119,2024-10-06,CUST-01397,Corporate,Central,Marketplace,Technology,Accessories,3,268.83,0.0,806.49,183.07,Standard,7.0,3.8,False,GBP
ORD-102328,2025-05-06,CUST-01137,Consumer,South,Mobile App,Technology,Accessories,1,432.51,0.15,367.63,47.79,Same Day,1.0,2.7,False,GBP
ORD-102952,2025-10-02,CUST-01101,Consumer,East,Mobile App,Office Supplies,Labels,2,30.19,0.0,60.38,24.33,Standard,8.0,3.4,False,GBP
ORD-102253,2024-04-26,CUST-00580,Corporate,North,Mobile App,Technology,Phones,3,315.03,0.0,945.09,261.79,Standard,4.0,3.6,False,GBP
ORD-101638,2024-12-28,CUST-01384,Corporate,South,Web,Furniture,Furnishings,5,297.53,0.1,1338.88,451.2,Second Class,4.0,3.4,False,GBP
ORD-101182,2024-01-15,CUST-00396,Home Office,North,Mobile App,Office Supplies,Art,8,38.43,0.0,307.44,108.22,Standard,7.0,5.0,False,GBP
ORD-104161,2024-06-07,CUST-00562,Consumer,Central,Phone,Furniture,Chairs,2,325.2,0.15,552.84,175.8,First Class,1.0,4.7,False,GBP
ORD-104395,2024-06-08,CUST-00774,Corporate,Central,Web,Technology,Copiers,1,449.69,0.0,449.69,135.36,Standard,6.0,3.4,False,GBP
ORD-102194,2024-10-31,CUST-01053,Consumer,South,Web,Technology,Accessories,7,331.01,0.3,1621.95,429.82,Second Class,4.0,4.6,False,GBP
ORD-103828,2025-07-18,CUST-00052,Consumer,South,Phone,Office Supplies,Art,3,89.8,0.0,269.4,126.08,First Class,1.0,4.4,False,GBP
ORD-101263,2024-09-25,CUST-00708,,North,Mobile App,Office Supplies,Paper,1,42.51,0.1,38.26,10.41,Standard,6.0,3.8,False,GBP
ORD-103338,2025-06-10,CUST-00478,Consumer,West,Marketplace,Furniture,Bookcases,2,263.3,0.4,315.96,40.76,Standard,4.0,4.0,False,GBP
ORD-101353,2024-02-10,CUST-00605,Home Office,South,Phone,Office Supplies,Art,6,18.65,0.0,111.9,35.02,Standard,7.0,4.9,False,GBP
ORD-102822,2025-02-07,CUST-00973,Home Office,East,Web,Office Supplies,Binders,3,15.74,0.1,42.5,14.96,Standard,6.0,4.2,True,GBP
ORD-103174,2025-07-13,CUST-00211,Consumer,South,Mobile App,Technology,Accessories,2,327.31,0.4,392.77,2.36,First Class,3.0,4.7,False,GBP
ORD-104229,2024-10-08,CUST-01119,Consumer,East,Mobile App,Furniture,Chairs,7,508.47,0.2,2847.43,777.35,Same Day,3.0,3.2,False,GBP
ORD-100280,2025-04-21,CUST-00274,Corporate,East,Marketplace,Office Supplies,Storage,1,31.97,0.4,19.18,3.49,First Class,3.0,3.2,False,GBP
ORD-100035,2024-03-18,CUST-01291,Consumer,Central,Marketplace,Furniture,Bookcases,8,189.44,0.0,1515.52,560.74,Standard,4.0,4.7,False,GBP
ORD-104385,2024-08-09,CUST-00266,Corporate,South,Web,Technology,Phones,2,442.44,0.4,530.93,57.34,First Class,3.0,3.8,False,GBP
ORD-104205,2025-02-24,CUST-00678,Consumer,North,Mobile App,Furniture,Bookcases,5,508.52,0.3,1779.82,302.57,Standard,5.0,4.6,False,GBP
ORD-102188,2024-04-08,CUST-00064,Corporate,North,Web,Office Supplies,Labels,2,42.65,0.4,51.18,1.79,Standard,6.0,3.3,False,GBP
ORD-101471,2025-04-24,CUST-00785,,East,Web,Office Supplies,Paper,3,52.23,0.0,156.69,65.65,Standard,5.0,3.9,False,GBP
ORD-103022,2024-11-26,CUST-01029,Corporate,Central,Web,Technology,Machines,2,560.89,0.2,897.42,157.05,Standard,7.0,3.1,False,GBP
ORD-104720,2025-02-22,CUST-00929,Consumer,North,Web,Technology,Phones,3,142.46,0.2,341.9,43.76,Second Class,4.0,3.1,True,GBP
ORD-101708,2024-09-19,CUST-01114,Consumer,Central,Marketplace,Furniture,Bookcases,5,245.56,0.2,982.24,243.6,Standard,5.0,2.4,False,GBP
ORD-101451,2024-10-11,CUST-00431,Consumer,Central,Web,Furniture,Furnishings,7,255.35,0.2,1429.96,193.04,Second Class,6.0,3.0,False,GBP
ORD-103477,2024-08-07,CUST-01211,Home Office,East,Mobile App,Furniture,Tables,7,395.23,0.4,1659.97,159.36,Standard,5.0,3.6,False,GBP
ORD-102436,2025-05-09,CUST-00943,Consumer,West,Web,Office Supplies,Art,5,31.72,0.15,134.81,36.53,Standard,6.0,2.9,False,GBP
ORD-104400,2025-11-19,CUST-01215,Home Office,South,Marketplace,Furniture,Chairs,5,339.85,0.0,1699.25,684.8,Second Class,6.0,2.7,False,GBP
ORD-101151,2024-09-03,CUST-00152,Consumer,West,Marketplace,Office Supplies,Storage,3,53.26,0.1,143.8,49.75,Second Class,4.0,4.6,False,GBP
ORD-102711,2025-07-21,CUST-00962,Home Office,Central,Mobile App,Office Supplies,Labels,7,16.37,0.0,114.59,37.36,Second Class,6.0,4.0,False,GBP
ORD-100793,2024-08-17,CUST-00760,Consumer,Central,Web,Office Supplies,Binders,3,29.08,0.0,87.24,22.07,Second Class,3.0,3.9,False,GBP
ORD-101939,2025-10-24,CUST-00897,,South,Mobile App,Office Supplies,Binders,5,31.64,0.0,158.2,66.92,Second Class,6.0,3.9,False,GBP
ORD-102926,2025-06-04,CUST-00614,Consumer,South,Web,Office Supplies,Binders,1,40.25,0.0,40.25,15.01,Second Class,5.0,3.6,False,GBP
ORD-103172,2025-05-10,CUST-00757,Consumer,West,Web,Furniture,Bookcases,5,385.72,0.0,1928.6,586.29,Standard,6.0,2.4,False,GBP
ORD-104392,2024-10-14,CUST-00748,,East,Mobile App,Furniture,Furnishings,8,230.44,0.3,1290.46,148.4,First Class,1.0,3.9,False,GBP
ORD-102450,2024-08-11,CUST-00720,Home Office,Central,Web,Furniture,Furnishings,8,194.23,0.4,932.3,20.51,Standard,8.0,5.0,False,GBP
ORD-100418,2025-12-02,CUST-00296,Home Office,East,Web,Office Supplies,Paper,7,35.32,0.0,247.24,61.81,Standard,7.0,2.8,False,GBP
ORD-100743,2025-10-03,CUST-01331,Consumer,West,Mobile App,Furniture,Furnishings,1,508.52,0.0,508.52,197.31,Same Day,3.0,3.6,False,GBP
ORD-103018,2025-12-14,CUST-00329,Consumer,West,Web,Office Supplies,Labels,8,39.29,0.1,282.89,102.69,Second Class,5.0,3.7,False,GBP
ORD-100121,2025-01-11,CUST-01363,Consumer,Central,Web,Office Supplies,Labels,6,63.38,0.15,323.24,125.09,Standard,8.0,5.0,False,GBP
ORD-101918,2025-12-26,CUST-01257,Corporate,East,Mobile App,Furniture,Chairs,7,105.11,0.1,662.19,217.86,Standard,7.0,3.2,False,GBP
ORD-100129,2025-02-22,CUST-00835,Consumer,Central,Mobile App,Office Supplies,Art,2,24.63,0.15,41.87,9.17,Second Class,,5.0,False,GBP
ORD-102707,2025-11-04,CUST-00974,,South,Mobile App,Office Supplies,Labels,8,21.62,0.3,121.07,27.36,First Class,2.0,,False,GBP
ORD-100338,2024-07-07,CUST-00900,,Central,Marketplace,Office Supplies,Art,7,57.48,0.2,321.89,88.84,First Class,3.0,4.0,False,GBP
ORD-104671,2024-08-27,CUST-00904,Consumer,West,Mobile App,Office Supplies,Art,7,12.17,0.0,85.19,26.32,Standard,8.0,3.4,False,GBP
ORD-104817,2024-04-27,CUST-01361,Home Office,West,Mobile App,Technology,Accessories,8,404.53,0.0,3236.24,1443.36,First Class,4.0,4.2,False,GBP
ORD-100377,2024-08-11,CUST-01009,Home Office,West,Mobile App,Office Supplies,Labels,4,35.36,0.15,120.22,31.98,Second Class,2.0,4.9,False,GBP
ORD-101773,2025-03-11,CUST-00758,Consumer,East,Web,Office Supplies,Storage,2,10.14,0.2,16.22,2.51,Standard,5.0,2.2,False,GBP
ORD-100700,2024-03-13,CUST-00826,Consumer,East,Web,Office Supplies,Storage,2,50.62,0.3,70.87,10.84,Second Class,3.0,4.3,False,GBP
ORD-101218,2024-04-16,CUST-00560,,South,Mobile App,Office Supplies,Binders,6,39.58,0.2,189.98,41.8,Standard,6.0,4.0,False,GBP
ORD-102555,2025-05-21,CUST-00425,Home Office,East,Marketplace,Technology,Accessories,6,493.29,0.1,2663.77,1009.57,Standard,6.0,4.2,False,GBP
ORD-102234,2024-02-29,CUST-01106,Home Office,South,Web,Furniture,Chairs,4,308.6,0.1,1110.96,257.74,First Class,4.0,4.0,False,GBP
ORD-101614,2025-04-08,CUST-00152,Consumer,East,Mobile App,Office Supplies,Paper,8,61.55,0.15,418.54,125.98,Standard,4.0,4.3,False,GBP
ORD-102670,2025-07-14,CUST-00080,Corporate,North,Marketplace,Office Supplies,Binders,3,17.47,0.2,41.93,8.01,Standard,7.0,3.7,False,GBP
ORD-100748,2025-01-21,CUST-00155,Home Office,East,Web,Technology,Machines,7,401.18,0.3,1965.78,161.19,First Class,2.0,2.9,False,GBP
ORD-104107,2025-08-31,CUST-00079,Corporate,North,Mobile App,Furniture,Bookcases,6,331.38,0.0,1988.28,934.49,Standard,5.0,3.5,False,GBP
ORD-101064,2025-08-20,CUST-00709,Consumer,South,Web,Office Supplies,Binders,2,21.64,0.15,36.79,13.02,Standard,5.0,4.8,False,GBP
ORD-104169,2025-07-16,CUST-00950,Corporate,North,Web,Office Supplies,Art,8,36.1,0.4,173.28,22.01,Standard,,4.4,False,GBP
ORD-100595,2024-12-08,CUST-00895,Corporate,Central,Phone,Office Supplies,Storage,5,77.93,0.0,389.65,148.85,Second Class,4.0,4.7,False,GBP
ORD-104603,2025-09-28,CUST-00568,Consumer,North,Mobile App,Technology,Machines,7,251.64,0.3,1233.04,212.08,First Class,2.0,4.4,False,GBP
ORD-102446,2025-06-08,CUST-01297,Corporate,West,Mobile App,Office Supplies,Paper,8,15.15,0.0,121.2,37.69,First Class,6.0,3.7,False,GBP
ORD-102647,2025-12-12,CUST-00946,Corporate,Central,Web,Office Supplies,Labels,7,22.6,0.1,142.38,45.13,Standard,6.0,2.9,False,GBP
ORD-101112,2024-11-27,CUST-00120,,Central,Web,Furniture,Chairs,5,172.04,0.0,860.2,297.63,First Class,2.0,,False,GBP
ORD-100317,2025-08-28,CUST-00726,Consumer,Central,Web,Office Supplies,Paper,8,58.95,0.15,400.86,137.9,Second Class,5.0,3.0,False,GBP
ORD-100218,2024-07-29,CUST-01004,Corporate,North,Mobile App,Furniture,Tables,1,253.09,0.4,151.85,16.25,Standard,8.0,4.9,True,GBP
ORD-104472,2024-03-26,CUST-01223,Consumer,Central,Mobile App,Technology,Machines,2,318.4,0.3,445.76,89.15,Second Class,3.0,2.1,False,GBP
ORD-103170,2024-07-31,CUST-00266,Consumer,Central,Marketplace,Technology,Copiers,1,128.17,0.1,115.35,38.53,Standard,7.0,2.2,False,GBP
ORD-103072,2024-12-22,CUST-00932,Consumer,North,Web,Technology,Phones,7,471.6,0.2,2640.96,219.2,Standard,6.0,2.6,False,GBP
ORD-104728,2025-05-18,CUST-00107,Home Office,South,Mobile App,Office Supplies,Labels,6,31.28,0.2,150.14,25.22,Standard,7.0,3.9,False,GBP
ORD-102692,2025-09-04,CUST-01398,Home Office,East,Web,Furniture,Tables,6,228.75,0.1,1235.25,303.87,Same Day,2.0,5.0,False,GBP
ORD-100186,2024-03-21,CUST-00179,,North,Marketplace,Furniture,Bookcases,8,71.1,0.0,568.8,146.75,Standard,7.0,4.1,True,GBP
ORD-100238,2024-03-21,CUST-01380,Consumer,Central,Marketplace,Office Supplies,Paper,7,14.01,0.4,58.84,12.0,Standard,10.0,3.5,False,GBP
ORD-102752,2025-01-09,CUST-01071,Consumer,North,Web,Office Supplies,Binders,4,30.12,0.0,120.48,44.22,Second Class,3.0,4.2,False,GBP
ORD-104893,2024-02-29,CUST-00117,Consumer,East,Web,Technology,Copiers,1,371.51,0.0,371.51,92.13,Second Class,2.0,,False,GBP
ORD-100088,2024-10-31,CUST-00981,Home Office,Central,Mobile App,Office Supplies,Storage,2,31.84,0.15,54.13,15.59,Second Class,4.0,3.8,False,GBP
ORD-101686,2025-01-03,CUST-00938,,Central,Web,Office Supplies,Art,5,46.74,0.4,140.22,33.09,Standard,7.0,4.4,False,GBP
ORD-102724,2025-02-01,CUST-00981,Corporate,West,Marketplace,Office Supplies,Labels,3,20.92,0.0,62.76,25.17,Second Class,5.0,4.0,False,GBP
ORD-101715,2024-12-17,CUST-00533,Consumer,Central,Marketplace,Office Supplies,Binders,7,9.87,0.3,48.36,16.3,Standard,6.0,4.6,False,GBP
ORD-101267,2024-06-08,CUST-00690,Consumer,Central,Mobile App,Furniture,Furnishings,4,101.89,0.0,407.56,154.47,Standard,5.0,3.2,False,GBP
ORD-104956,2024-06-30,CUST-00604,Consumer,Central,Mobile App,Technology,Accessories,2,869.43,0.1,1564.97,308.3,Standard,4.0,2.9,False,GBP
ORD-103872,2024-10-07,CUST-00717,Corporate,Central,Mobile App,Office Supplies,Binders,3,16.46,0.0,49.38,21.92,Standard,5.0,3.3,False,GBP
ORD-104848,2025-06-20,CUST-01192,Corporate,North,Web,Office Supplies,Paper,3,81.11,0.0,243.33,102.93,Standard,5.0,4.2,False,GBP
ORD-103946,2025-11-13,CUST-00736,Corporate,West,Mobile App,Technology,Copiers,7,553.85,0.4,2326.17,330.32,Standard,6.0,3.6,False,GBP
ORD-102869,2024-09-05,CUST-00386,Corporate,East,Mobile App,Furniture,Tables,7,330.04,0.1,2079.25,602.98,Standard,4.0,2.6,False,GBP
ORD-100868,2025-01-26,CUST-00155,Corporate,North,Mobile App,Furniture,Furnishings,2,522.52,0.4,627.02,102.83,First Class,3.0,3.4,False,GBP
ORD-101998,2025-12-15,CUST-00146,Corporate,East,Marketplace,Furniture,Bookcases,6,142.82,0.0,856.92,350.48,Standard,4.0,,True,GBP
ORD-104175,2024-10-05,CUST-00100,Consumer,Central,Phone,Furniture,Tables,6,172.89,0.4,622.4,91.49,Standard,7.0,4.5,False,GBP
ORD-103494,2025-12-21,CUST-00980,Consumer,West,Mobile App,Office Supplies,Labels,5,14.49,0.2,57.96,11.42,Same Day,3.0,3.3,False,GBP
ORD-100576,2024-08-02,CUST-00666,Consumer,West,Web,Office Supplies,Paper,6,6.07,0.15,30.96,5.73,Standard,4.0,3.5,False,GBP
ORD-102054,2024-06-11,CUST-01183,,North,Web,Office Supplies,Binders,4,13.83,0.2,44.26,7.57,Same Day,1.0,4.7,False,GBP
ORD-101460,2025-01-01,CUST-00752,,North,Web,Furniture,Tables,5,127.46,0.0,637.3,164.42,Second Class,4.0,5.0,False,GBP
ORD-104623,2025-03-18,CUST-00374,Corporate,West,Web,Technology,Phones,5,166.82,0.3,583.87,126.7,Standard,5.0,2.9,False,GBP
ORD-102774,2025-06-08,CUST-00464,Consumer,South,Web,Office Supplies,Binders,1,46.16,0.1,41.54,10.05,Second Class,3.0,3.1,True,GBP
ORD-104207,2025-09-10,CUST-00312,Consumer,East,Phone,Office Supplies,Storage,6,81.97,0.3,344.27,71.61,Second Class,5.0,4.3,False,GBP
ORD-104805,2024-02-13,CUST-00411,Consumer,Central,Phone,Office Supplies,Art,5,17.76,0.2,71.04,22.09,Second Class,2.0,3.1,False,GBP
ORD-104451,2025-01-12,CUST-00780,Corporate,North,Marketplace,Office Supplies,Labels,7,35.05,0.0,245.35,102.56,Standard,7.0,3.8,True,GBP
ORD-102817,2024-02-10,CUST-01337,Consumer,North,Mobile App,Office Supplies,Labels,7,53.92,0.4,226.46,60.01,Standard,,3.0,False,GBP
ORD-104778,2025-09-16,CUST-00395,Consumer,East,Web,Technology,Phones,1,547.26,0.0,547.26,192.64,Standard,5.0,4.0,False,GBP
ORD-101172,2025-10-02,CUST-00034,Corporate,South,Web,Furniture,Tables,5,320.28,0.2,1281.12,295.94,First Class,4.0,2.9,False,GBP
ORD-100658,2025-09-13,CUST-00227,Consumer,North,Marketplace,Office Supplies,Art,5,53.89,0.1,242.5,63.54,Standard,5.0,4.8,False,GBP
ORD-100982,2024-10-14,CUST-00951,Consumer,East,Web,Technology,Accessories,4,753.64,0.0,3014.56,1055.1,First Class,2.0,4.8,False,GBP
ORD-103436,2025-09-26,CUST-00134,Corporate,East,Phone,Office Supplies,Labels,4,28.52,0.15,96.97,30.45,Second Class,0.0,4.6,False,GBP
ORD-101894,2024-09-18,CUST-01065,Corporate,West,Web,Furniture,Tables,2,369.6,0.0,739.2,255.76,First Class,1.0,3.5,True,GBP
ORD-101179,2025-10-17,CUST-00703,Consumer,West,Mobile App,Furniture,Chairs,4,222.05,0.15,754.97,266.5,First Class,5.0,,False,GBP
ORD-100497,2025-04-10,CUST-01009,,Central,Marketplace,Office Supplies,Labels,7,21.98,0.1,138.47,43.06,Second Class,7.0,3.1,False,GBP
ORD-101328,2024-05-28,CUST-00935,Consumer,South,Web,Technology,Accessories,7,241.94,0.0,1693.58,470.82,Standard,5.0,3.2,False,GBP
ORD-104601,2024-09-15,CUST-00065,Consumer,West,Mobile App,Office Supplies,Labels,6,18.26,0.1,98.6,29.68,First Class,3.0,4.0,True,GBP
ORD-104535,2025-05-04,CUST-00668,Consumer,South,Mobile App,Technology,Phones,1,224.46,0.0,224.46,77.66,Same Day,2.0,3.6,False,GBP
ORD-101713,2024-05-29,CUST-00435,Corporate,West,Mobile App,Office Supplies,Binders,8,18.21,0.0,145.68,36.71,Same Day,0.0,4.5,False,GBP
ORD-104498,2024-11-03,CUST-01241,Consumer,West,Mobile App,Furniture,Bookcases,3,282.22,0.1,761.99,181.35,Standard,4.0,1.5,False,GBP
ORD-104204,2024-09-21,CUST-00268,Home Office,North,Marketplace,Technology,Machines,2,459.21,0.3,642.89,129.22,First Class,1.0,3.5,False,GBP
ORD-100885,2025-12-02,CUST-00683,Consumer,West,Web,Furniture,Furnishings,8,114.0,0.0,912.0,273.6,Standard,7.0,,False,GBP
ORD-101865,2025-12-19,CUST-01315,,South,Marketplace,Office Supplies,Labels,7,12.1,0.2,67.76,15.58,Standard,7.0,4.8,False,GBP
ORD-100671,2025-12-16,CUST-00762,Corporate,South,Marketplace,Furniture,Furnishings,3,111.02,0.0,333.06,112.91,Second Class,4.0,4.0,True,GBP
ORD-104346,2025-10-23,CUST-00231,Consumer,South,Mobile App,Office Supplies,Binders,1,9.3,0.15,7.9,1.46,Same Day,3.0,4.7,False,GBP
ORD-100385,2025-10-01,CUST-00757,Corporate,South,Marketplace,Office Supplies,Art,2,35.57,0.4,42.68,8.24,Standard,10.0,,False,GBP
ORD-100374,2025-01-15,CUST-00564,Consumer,East,Marketplace,Furniture,Chairs,3,201.63,0.2,483.91,169.85,Standard,3.0,4.5,False,GBP
ORD-102657,2025-03-19,CUST-00283,Home Office,East,Web,Office Supplies,Storage,6,30.06,0.0,180.36,69.62,Standard,7.0,4.2,False,GBP
ORD-101071,2025-10-13,CUST-01198,Consumer,North,Web,Technology,Machines,4,466.18,0.0,1864.72,516.53,Second Class,6.0,4.1,False,GBP
ORD-104617,2024-12-03,CUST-00203,Home Office,East,Web,Office Supplies,Paper,2,28.91,0.15,49.15,13.02,Standard,4.0,2.2,False,GBP
ORD-101576,2024-03-30,CUST-01185,Consumer,South,Mobile App,Office Supplies,Labels,8,10.06,0.0,80.48,26.64,Standard,7.0,2.9,False,GBP
ORD-100198,2025-05-31,CUST-00477,Consumer,West,Mobile App,Technology,Machines,7,197.31,0.15,1173.99,226.58,Standard,5.0,4.5,False,GBP
ORD-104025,2025-12-10,CUST-01153,Corporate,North,Mobile App,Technology,Phones,8,355.06,0.0,2840.48,880.55,First Class,,3.2,False,GBP
ORD-102080,2025-10-15,CUST-00287,,East,Mobile App,Furniture,Bookcases,7,115.57,0.4,485.39,106.79,Standard,7.0,3.5,False,GBP
ORD-101801,2025-09-22,CUST-00056,Corporate,East,Web,Office Supplies,Binders,4,29.41,0.4,70.58,11.65,First Class,1.0,3.7,True,GBP
ORD-101861,2025-10-24,CUST-01169,Corporate,East,Marketplace,Technology,Phones,7,462.62,0.0,3238.34,1194.95,Standard,5.0,4.1,False,GBP
ORD-101399,2024-03-27,CUST-01204,Corporate,West,Mobile App,Furniture,Furnishings,6,252.76,0.15,1289.08,319.69,First Class,5.0,4.3,False,GBP
ORD-101863,2025-01-29,CUST-00741,Corporate,South,Marketplace,Furniture,Bookcases,4,265.88,0.0,1063.52,295.66,Second Class,5.0,3.5,False,GBP
ORD-101608,2025-12-17,CUST-00573,Consumer,East,Web,Office Supplies,Labels,6,54.92,0.15,280.09,75.62,Second Class,4.0,4.8,False,GBP
ORD-102842,2024-11-14,CUST-00491,Home Office,East,Mobile App,Office Supplies,Storage,8,40.34,0.0,322.72,112.95,Standard,5.0,4.1,False,GBP
ORD-104943,2025-12-17,CUST-00121,Home Office,North,Mobile App,Office Supplies,Storage,6,29.37,0.0,176.22,74.01,Standard,6.0,4.1,False,GBP
ORD-101758,2025-05-11,CUST-00252,Consumer,West,Web,Technology,Accessories,3,165.06,0.0,495.18,207.98,Standard,5.0,3.0,False,GBP
ORD-100603,2025-02-12,CUST-00654,Home Office,South,Mobile App,Furniture,Tables,2,238.09,0.0,476.18,153.81,Standard,6.0,3.1,True,GBP
ORD-102992,2025-05-19,CUST-00172,Corporate,Central,Marketplace,Office Supplies,Art,6,26.34,0.0,158.04,36.67,First Class,5.0,3.3,True,GBP
ORD-100068,2024-06-10,CUST-00777,Corporate,South,Mobile App,Technology,Copiers,5,346.87,0.0,1734.35,516.84,Standard,6.0,3.1,False,GBP
ORD-104032,2025-02-05,CUST-01293,Corporate,East,Phone,Furniture,Chairs,2,297.32,0.1,535.18,168.05,First Class,5.0,3.0,False,GBP
ORD-100625,2025-07-24,CUST-00281,Consumer,North,Mobile App,Furniture,Tables,7,552.83,0.4,2321.89,199.68,Standard,5.0,2.7,True,GBP
ORD-104619,2025-02-26,CUST-00393,Consumer,Central,Web,Office Supplies,Labels,8,56.59,0.4,271.63,19.29,Standard,7.0,4.0,False,GBP
ORD-104986,2024-03-07,CUST-01346,Corporate,West,Mobile App,Office Supplies,Storage,8,17.49,0.0,139.92,39.46,Standard,5.0,,False,GBP
ORD-104583,2024-10-08,CUST-00403,Corporate,West,Mobile App,Technology,Copiers,3,681.46,0.15,1737.72,357.97,Second Class,5.0,2.5,False,GBP
ORD-104299,2025-12-26,CUST-00589,Corporate,South,Mobile App,Furniture,Furnishings,1,178.91,0.0,178.91,72.28,Standard,6.0,3.0,False,GBP
ORD-102079,2024-04-27,CUST-01041,Corporate,East,Web,Office Supplies,Paper,7,17.72,0.0,124.04,57.31,Second Class,3.0,5.0,False,GBP
ORD-104223,2024-01-20,CUST-00954,Corporate,North,Web,Furniture,Tables,8,154.07,0.15,1047.68,233.63,Standard,5.0,4.5,False,GBP
ORD-102417,2024-07-25,CUST-01048,Consumer,North,Marketplace,Furniture,Chairs,2,131.52,0.0,263.04,110.74,First Class,2.0,2.9,False,GBP
ORD-102278,2025-02-12,CUST-01219,Consumer,West,Mobile App,Technology,Phones,4,700.5,0.1,2521.8,892.72,First Class,4.0,5.0,False,GBP
ORD-100397,2024-07-10,CUST-00670,Corporate,North,Web,Furniture,Tables,7,559.67,0.1,3525.92,895.58,Second Class,6.0,4.6,False,GBP
ORD-102352,2024-07-23,CUST-01148,Corporate,East,Web,Furniture,Chairs,5,314.88,0.0,1574.4,612.44,Standard,,4.6,True,GBP
ORD-102167,2025-10-01,CUST-00026,Corporate,North,Mobile App,Technology,Copiers,5,555.23,0.0,2776.15,838.4,Standard,6.0,3.2,False,GBP
ORD-103475,2024-09-07,CUST-01105,Home Office,North,Marketplace,Technology,Phones,5,107.71,0.1,484.7,156.56,Second Class,5.0,5.0,False,GBP
ORD-101257,2024-08-02,CUST-01360,Corporate,Central,Web,Office Supplies,Binders,1,16.23,0.3,11.36,2.48,Standard,6.0,3.8,False,GBP
ORD-102173,2024-05-15,CUST-00093,Consumer,South,Marketplace,Office Supplies,Paper,6,8.67,0.1,46.82,14.47,Standard,6.0,4.1,False,GBP
